Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference
06/07/2010 01,20.16,19.4,"7,111","7,270",-159
06/07/2010 02,14.37,14.12,"6,963","7,095",-132
06/07/2010 03,13.84,13.84,"6,889","7,008",-119
06/07/2010 04,13.84,13.22,"6,867","6,991",-124
06/07/2010 05,8.09,8.09,"6,892","7,011",-119
06/07/2010 06,8.99,8.09,"6,940","7,065",-125
06/07/2010 07,10.93,9.41,"7,256","7,380",-124
06/07/2010 08,21.71,21.56,"7,864","7,914",-50
06/07/2010 09,27.89,27.53,"8,162","8,231",-69
06/07/2010 10,29.32,29.49,"8,349","8,419",-70
06/07/2010 11,29.71,29.6,"8,472","8,582",-110
06/07/2010 12,29.54,31.39,"8,540","8,652",-112
06/07/2010 13,29.94,32.4,"8,543","8,644",-101
06/07/2010 14,30.88,33.16,"8,557","8,611",-54
06/07/2010 15,33.46,33.32,"8,547","8,590",-43
06/07/2010 16,30.59,30.93,"8,549","8,540",9
06/07/2010 17,33.18,33.35,"8,573","8,599",-26
06/07/2010 18,32.59,30.46,"8,533","8,550",-17
06/07/2010 19,28.16,29.48,"8,332","8,340",-8
06/07/2010 20,30.63,28.21,"8,217","8,223",-6
06/07/2010 21,30.04,30.23,"8,147","8,131",16
06/07/2010 22,36.78,36.78,"8,041","8,063",-22
06/07/2010 23,35.73,36.29,"7,918","7,939",-21
06/07/2010 24,28.78,27.95,"7,597","7,578",19
06/08/2010 01,19.34,19.85,"7,305","7,280",25
06/08/2010 02,13.95,14.53,"7,141","7,118",23
06/08/2010 03,14.75,13.96,"7,056","7,056",0
06/08/2010 04,13.88,13.84,"7,020","7,043",-23
06/08/2010 05,13.97,13.93,"7,032","7,034",-2
06/08/2010 06,17.0,20.02,"7,071","7,109",-38
06/08/2010 07,23.84,23.79,"7,388","7,411",-23
06/08/2010 08,43.83,36.2,"7,889","7,901",-12
06/08/2010 09,40.57,42.59,"8,132","8,148",-16
