,Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference,Hour,Month,Day,Year
0,2016-01-01,14.42,13.67,"9,274","9,232",42,1,1,1,2016
1,2016-01-01,13.54,13.23,"9,115","9,082",33,2,1,1,2016
2,2016-01-01,12.77,12.53,"8,981","8,919",62,3,1,1,2016
3,2016-01-01,11.06,11.07,"8,903","8,819",84,4,1,1,2016
4,2016-01-01,12.7,11.07,"8,895","8,779",116,5,1,1,2016
5,2016-01-01,12.67,11.07,"8,954","8,732",222,6,1,1,2016
6,2016-01-01,11.05,11.06,"9,090","8,809",281,7,1,1,2016
7,2016-01-01,12.02,11.24,"9,276","8,947",329,8,1,1,2016
8,2016-01-01,12.29,11.99,"9,457","9,037",420,9,1,1,2016
9,2016-01-01,13.02,13.01,"9,529","9,101",428,10,1,1,2016
10,2016-01-01,13.42,15.03,"9,634","9,224",410,11,1,1,2016
11,2016-01-01,15.88,16.88,"9,730","9,306",424,12,1,1,2016
12,2016-01-01,19.66,19.13,"9,754","9,356",398,13,1,1,2016
13,2016-01-01,18.23,19.36,"9,726","9,297",429,14,1,1,2016
14,2016-01-01,17.85,18.64,"9,691","9,252",439,15,1,1,2016
15,2016-01-01,18.6,19.03,"9,728","9,336",392,16,1,1,2016
16,2016-01-01,20.67,19.48,"9,998","9,608",390,17,1,1,2016
17,2016-01-01,20.69,21.23,"10,385","10,039",346,18,1,1,2016
18,2016-01-01,21.13,20.9,"10,270","9,977",293,19,1,1,2016
19,2016-01-01,20.67,20.66,"10,125","9,856",269,20,1,1,2016
20,2016-01-01,20.58,20.44,"9,995","9,713",282,21,1,1,2016
21,2016-01-01,19.64,19.66,"9,823","9,573",250,22,1,1,2016
22,2016-01-01,17.56,18.74,"9,562","9,398",164,23,1,1,2016
23,2016-01-01,19.49,19.81,"9,311","9,150",161,24,1,1,2016
24,2016-01-02,18.97,19.43,"9,197","8,956",241,1,1,2,2016
25,2016-01-02,19.46,19.49,"9,042","8,794",248,2,1,2,2016
26,2016-01-02,19.43,18.47,"8,947","8,665",282,3,1,2,2016
27,2016-01-02,19.43,19.32,"8,914","8,661",253,4,1,2,2016
28,2016-01-02,19.51,19.6,"8,928","8,727",201,5,1,2,2016
29,2016-01-02,19.82,19.63,"9,002","8,808",194,6,1,2,2016
30,2016-01-02,20.52,19.5,"9,172","8,930",242,7,1,2,2016
31,2016-01-02,17.31,19.41,"9,145","9,146",-1,8,1,2,2016
32,2016-01-02,20.34,21.08,"9,375","9,421",-46,9,1,2,2016
33,2016-01-02,20.83,20.52,"9,463","9,497",-34,10,1,2,2016
34,2016-01-02,21.29,21.38,"9,543","9,584",-41,11,1,2,2016
35,2016-01-02,22.23,21.68,"9,563","9,638",-75,12,1,2,2016
36,2016-01-02,21.66,21.5,"9,532","9,617",-85,13,1,2,2016
37,2016-01-02,22.1,21.65,"9,479","9,582",-103,14,1,2,2016
38,2016-01-02,20.81,20.52,"9,440","9,494",-54,15,1,2,2016
39,2016-01-02,20.18,20.64,"9,465","9,508",-43,16,1,2,2016
40,2016-01-02,24.17,23.29,"9,691","9,827",-136,17,1,2,2016
41,2016-01-02,23.67,26.17,"10,125","10,320",-195,18,1,2,2016
42,2016-01-02,23.93,23.23,"10,011","10,296",-285,19,1,2,2016
43,2016-01-02,22.58,22.51,"9,892","10,190",-298,20,1,2,2016
44,2016-01-02,22.51,22.51,"9,766","10,068",-302,21,1,2,2016
45,2016-01-02,22.18,21.43,"9,589","9,889",-300,22,1,2,2016
46,2016-01-02,18.98,19.54,"9,318","9,658",-340,23,1,2,2016
47,2016-01-02,17.91,17.93,"9,042","9,380",-338,24,1,2,2016
48,2016-01-03,15.1,15.35,"8,939","9,157",-218,1,1,3,2016
49,2016-01-03,14.12,16.15,"8,793","8,988",-195,2,1,3,2016
50,2016-01-03,15.12,14.36,"8,700","8,877",-177,3,1,3,2016
51,2016-01-03,12.9,12.98,"8,665","8,843",-178,4,1,3,2016
52,2016-01-03,11.07,11.76,"8,673","8,883",-210,5,1,3,2016
53,2016-01-03,11.91,12.34,"8,722","8,963",-241,6,1,3,2016
54,2016-01-03,13.38,12.94,"8,842","9,045",-203,7,1,3,2016
55,2016-01-03,12.97,12.55,"9,158","9,216",-58,8,1,3,2016
56,2016-01-03,12.21,12.96,"9,346","9,353",-7,9,1,3,2016
57,2016-01-03,13.25,13.68,"9,426","9,427",-1,10,1,3,2016
58,2016-01-03,14.11,14.42,"9,531","9,507",24,11,1,3,2016
59,2016-01-03,14.58,15.43,"9,591","9,570",21,12,1,3,2016
60,2016-01-03,14.75,14.8,"9,609","9,589",20,13,1,3,2016
61,2016-01-03,14.75,14.76,"9,587","9,617",-30,14,1,3,2016
62,2016-01-03,14.75,14.75,"9,571","9,582",-11,15,1,3,2016
63,2016-01-03,14.81,15.01,"9,635","9,731",-96,16,1,3,2016
64,2016-01-03,18.35,16.32,"9,916","10,093",-177,17,1,3,2016
65,2016-01-03,22.17,23.53,"10,381","10,574",-193,18,1,3,2016
66,2016-01-03,15.96,21.39,"10,279","10,516",-237,19,1,3,2016
67,2016-01-03,22.0,19.13,"10,190","10,374",-184,20,1,3,2016
68,2016-01-03,16.03,15.29,"10,084","10,196",-112,21,1,3,2016
69,2016-01-03,14.88,14.8,"9,898","9,982",-84,22,1,3,2016
70,2016-01-03,14.45,14.61,"9,545","9,599",-54,23,1,3,2016
71,2016-01-03,14.58,14.66,"9,190","9,263",-73,24,1,3,2016
72,2016-01-04,14.24,14.41,"9,018","9,116",-98,1,1,4,2016
73,2016-01-04,14.75,14.76,"8,920","9,048",-128,2,1,4,2016
74,2016-01-04,14.76,14.86,"8,875","8,984",-109,3,1,4,2016
75,2016-01-04,20.39,19.19,"8,875","8,956",-81,4,1,4,2016
76,2016-01-04,19.89,19.43,"8,951","9,013",-62,5,1,4,2016
77,2016-01-04,18.21,18.63,"9,162","9,194",-32,6,1,4,2016
