"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2011-06-01 00:00","2011","06","01","00:00"," ","7.7","","1.6","","65","","","M","","M","","","89.22","","","","","","NA"
"2011-06-01 01:00","2011","06","01","01:00"," ","7.0","","1.8","","69","","","M","","M","","","89.19","","","","","","NA"
"2011-06-01 02:00","2011","06","01","02:00"," ","5.9","","2.6","","79","","","M","","M","","","89.09","","","","","","NA"
"2011-06-01 03:00","2011","06","01","03:00"," ","6.0","","3.5","","84","","","M","","M","","","89.07","","","","","","NA"
"2011-06-01 04:00","2011","06","01","04:00"," ","5.5","","3.6","","88","","","M","","M","","","89.08","","","","","","NA"
"2011-06-01 05:00","2011","06","01","05:00"," ","5.4","","3.8","","89","","","M","","M","","","89.05","","","","","","NA"
"2011-06-01 06:00","2011","06","01","06:00"," ","8.1","","5.2","","82","","","M","","M","","","89.01","","","","","","NA"
"2011-06-01 07:00","2011","06","01","07:00"," ","8.7","","4.8","","76","","","M","","M","","","89.01","","","","","","NA"
"2011-06-01 08:00","2011","06","01","08:00"," ","9.9","","5.1","","72","","","M","","M","","","88.95","","","","","","NA"
"2011-06-01 09:00","2011","06","01","09:00"," ","10.8","","5.3","","69","","","M","","M","","","88.89","","","","","","NA"
"2011-06-01 10:00","2011","06","01","10:00"," ","10.6","","6.0","","73","","","M","","M","","","88.90","","","","","","NA"
"2011-06-01 11:00","2011","06","01","11:00"," ","12.6","","6.2","","65","","","M","","M","","","88.82","","","","","","NA"
"2011-06-01 12:00","2011","06","01","12:00"," ","13.1","","6.5","","64","","","M","","M","","","88.80","","","","","","NA"
"2011-06-01 13:00","2011","06","01","13:00"," ","16.0","","6.2","","52","","","M","","M","","","88.67","","","","","","NA"
"2011-06-01 14:00","2011","06","01","14:00"," ","16.6","","6.8","","52","","","M","","M","","","88.60","","","","","","NA"
"2011-06-01 15:00","2011","06","01","15:00"," ","16.5","","6.0","","50","","","M","","M","","","88.54","","","","","","NA"
"2011-06-01 16:00","2011","06","01","16:00"," ","15.7","","7.4","","58","","","M","","M","","","88.48","","","","","","NA"
"2011-06-01 17:00","2011","06","01","17:00"," ","14.5","","5.7","","55","","","M","","M","","","88.50","","","","","","NA"
"2011-06-01 18:00","2011","06","01","18:00"," ","9.5","","7.7","","89","","","M","","M","","","88.46","","","","","","NA"
"2011-06-01 19:00","2011","06","01","19:00"," ","11.5","","6.8","","73","","","M","","M","","","88.39","","","","","","NA"
"2011-06-01 20:00","2011","06","01","20:00"," ","13.0","","5.8","","62","","","M","","M","","","88.43","","","","","","NA"
"2011-06-01 21:00","2011","06","01","21:00"," ","9.7","","6.5","","80","","","M","","M","","","88.35","","","","","","NA"
"2011-06-01 22:00","2011","06","01","22:00"," ","7.9","","5.7","","86","","","M","","M","","","88.37","","","","","","NA"
"2011-06-01 23:00","2011","06","01","23:00"," ","7.0","","5.3","","89","","","M","","M","","","88.37","","","","","","NA"
"2011-06-02 00:00","2011","06","02","00:00"," ","6.5","","5.1","","91","","","M","","M","","","88.28","","","","","","NA"
"2011-06-02 01:00","2011","06","02","01:00"," ","6.0","","4.6","","91","","","M","","M","","","88.35","","","","","","NA"
"2011-06-02 02:00","2011","06","02","02:00"," ","5.5","","4.0","","90","","","M","","M","","","88.17","","","","","","NA"
"2011-06-02 03:00","2011","06","02","03:00"," ","6.1","","4.1","","87","","","M","","M","","","88.14","","","","","","NA"
"2011-06-02 04:00","2011","06","02","04:00"," ","5.9","","4.0","","88","","","M","","M","","","88.13","","","","","","NA"
"2011-06-02 05:00","2011","06","02","05:00"," ","6.3","","3.7","","83","","","M","","M","","","88.10","","","","","","NA"
"2011-06-02 06:00","2011","06","02","06:00"," ","6.9","","4.0","","82","","","M","","M","","","88.08","","","","","","NA"
"2011-06-02 07:00","2011","06","02","07:00"," ","8.9","","3.8","","70","","","M","","M","","","88.04","","","","","","NA"
"2011-06-02 08:00","2011","06","02","08:00"," ","10.6","","4.9","","68","","","M","","M","","","88.07","","","","","","NA"
"2011-06-02 09:00","2011","06","02","09:00"," ","12.9","","5.3","","60","","","M","","M","","","88.02","","","","","","NA"
"2011-06-02 10:00","2011","06","02","10:00"," ","13.6","","5.5","","58","","","M","","M","","","87.98","","","","","","NA"
"2011-06-02 11:00","2011","06","02","11:00"," ","14.7","","5.8","","55","","","M","","M","","","87.95","","","","","","NA"
"2011-06-02 12:00","2011","06","02","12:00"," ","15.3","","4.2","","47","","","M","","M","","","87.92","","","","","","NA"
"2011-06-02 13:00","2011","06","02","13:00"," ","16.1","","4.1","","45","","","M","","M","","","87.86","","","","","","NA"
"2011-06-02 14:00","2011","06","02","14:00"," ","16.1","","4.7","","47","","","M","","M","","","87.80","","","","","","NA"
"2011-06-02 15:00","2011","06","02","15:00"," ","16.5","","4.4","","45","","","M","","M","","","87.79","","","","","","NA"
"2011-06-02 16:00","2011","06","02","16:00"," ","16.7","","3.3","","41","","","M","","M","","","87.78","","","","","","NA"
"2011-06-02 17:00","2011","06","02","17:00"," ","16.8","","4.1","","43","","","M","","M","","","87.78","","","","","","NA"
"2011-06-02 18:00","2011","06","02","18:00"," ","15.9","","4.5","","47","","","M","","M","","","87.76","","","","","","NA"
"2011-06-02 19:00","2011","06","02","19:00"," ","13.8","","5.5","","57","","","M","","M","","","87.79","","","","","","NA"
"2011-06-02 20:00","2011","06","02","20:00"," ","13.0","","4.7","","57","","","M","","M","","","87.82","","","","","","NA"
"2011-06-02 21:00","2011","06","02","21:00"," ","11.1","","5.3","","67","","","M","","M","","","87.88","","","","","","NA"
"2011-06-02 22:00","2011","06","02","22:00"," ","11.7","","4.4","","61","","","M","","M","","","87.87","","","","","","NA"
